thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,feedback_2.stopped,fb_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose left,left,left,1,1.0845437000002676,None,0,0,0,0,0,0,0,0,0.03211719999990237,,0.024898699999994278,0.03211719999990237,0.03211719999990237,0.03211719999990237,0.03211719999990237,1.121187799999916,left,1,1.0845437000002676,None,1.1298674999998184,1.1487354999999297,2.1355596999997033,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
1,1,0,choose right,right,right,1,0.7829836999999316,None,0,0,0,0,0,1,1,1,2.149902999999995,,2.1393300999998246,2.149902999999995,2.149902999999995,2.149902999999995,2.149902999999995,2.9354983999996875,right,1,0.7829836999999316,None,2.9357004999997116,2.9495443999999225,3.9354005999998662,3.9498501999996734,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
2,0,1,choose right,right,right,1,0.6865106999998716,None,0,0,0,0,1,0,2,1,3.9498501999996734,,3.935503499999868,3.9498501999996734,3.9498501999996734,3.9498501999996734,3.9498501999996734,4.6516616999997495,right,1,0.6865106999998716,None,4.651856099999804,4.666142600000057,5.651370000000043,5.666463600000043,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
3,1,1,choose left,left,left,1,0.49818169999980455,None,0,0,0,0,1,1,3,0,5.666463600000043,,5.653206499999669,5.666463600000043,5.666463600000043,5.666463600000043,5.666463600000043,6.168862799999715,left,1,0.49818169999980455,None,6.169062199999644,6.1828998000000865,7.1695236999999,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
4,0,2,choose right,right,right,1,1.0365825000003497,None,0,0,0,0,2,0,4,1,7.183513399999811,,7.1723730999997315,7.183513399999811,7.183513399999811,7.183513399999811,7.183513399999811,8.235337699999945,right,1,1.0365825000003497,None,8.23730519999981,8.249683900000036,9.234961599999679,9.265658699999676,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
0,0,0,choose left,left,left,1,0.5548142000002372,None,1,0,1,0,0,0,0,0,9.265658699999676,,9.251500899999883,9.265658699999676,9.265658699999676,9.265658699999676,9.265658699999676,9.83537810000007,left,1,0.5548142000002372,None,9.835603300000002,9.849641399999655,10.834812000000056,10.849991099999897,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
1,1,0,choose right,right,left,0,0.7546492999999828,None,1,0,1,0,0,1,1,1,10.849991099999897,,10.836648999999852,10.849991099999897,10.849991099999897,10.849991099999897,10.849991099999897,11.618387399999847,left,0,0.7546492999999828,None,11.62284980000004,11.633088600000065,12.6195831,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
2,0,1,choose right,right,left,0,0.5475160000000869,None,1,0,1,0,1,0,2,1,12.633314400000017,,12.619743499999913,12.633314400000017,12.633314400000017,12.633314400000017,12.633314400000017,13.185122299999875,left,0,0.5475160000000869,None,13.188296399999672,13.199651299999914,14.185011000000031,14.199888899999678,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
3,1,1,choose left,left,left,1,0.5243387000000439,None,1,0,1,0,1,1,3,0,14.199888899999678,,14.187003999999888,14.199888899999678,14.199888899999678,14.199888899999678,14.199888899999678,14.73498729999983,left,1,0.5243387000000439,None,14.736939899999925,14.749858099999983,15.735059299999648,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
4,0,2,choose left,left,right,0,0.9821965000001001,None,1,0,1,0,2,0,4,0,15.750062099999923,,15.735170299999936,15.750062099999923,15.750062099999923,15.750062099999923,15.750062099999923,16.735049099999742,right,0,0.9821965000001001,None,16.737066799999866,16.749677399999655,17.73502419999977,17.75003949999973,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
5,1,2,choose right,right,right,1,1.4310437999997703,None,1,0,1,0,2,1,5,1,17.75003949999973,,17.736923299999944,17.75003949999973,17.75003949999973,17.75003949999973,17.75003949999973,19.185484000000088,right,1,1.4310437999997703,None,19.18819889999986,19.199847899999895,20.185466200000064,20.199912999999924,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
1,0,1,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,111458,001,2025-07-03_13h40.19.736,untitled,2024.2.4,61.74566097802982,2025-07-03 13h40.22.063400 -0400,
0,0,0,choose left,left,,,,,2,0,2,0,0,0,0,0,20.199912999999924,,20.191361499999857,20.199912999999924,20.199912999999924,20.199912999999924,20.199912999999924,,,,,,,,,,,,,,,,,
