thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose left,left,left,1,0.5546482999998261,None,0,0,0,0,0,0,0,0,1.0165752000002612,,0.017967100000078062,0.03221860000030574,1.0016192000002775,1.0081499000002623,1.0165752000002612,1.0165752000002612,1.0165752000002612,1.0165752000002612,1.586868400000185,left,1,0.5546482999998261,None,1.5944187000000056,1.599775099999988,2.599999800000205,2.5855547000001025,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
1,1,0,choose right,right,right,1,0.49144369999976334,None,0,0,0,0,0,1,1,1,2.599999800000205,,,,,2.588647200000196,2.599999800000205,2.599999800000205,2.599999800000205,2.599999800000205,3.1019045000002734,right,1,0.49144369999976334,None,3.102100999999948,3.116380400000253,,4.102186099999926,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
2,0,1,choose left,left,left,1,0.61723290000009,None,0,0,0,0,1,0,2,0,4.12191920000032,,,,,4.104217099999914,4.12191920000032,4.12191920000032,4.12191920000032,4.12191920000032,4.75197449999996,left,1,0.61723290000009,None,4.752171900000121,4.76736290000008,5.766743200000292,5.751765599999999,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
3,1,1,choose right,right,right,1,0.6284092999999302,None,0,0,0,0,1,1,3,1,5.766743200000292,,,,,5.753608600000007,5.766743200000292,5.766743200000292,5.766743200000292,5.766743200000292,6.402009400000225,right,1,0.6284092999999302,None,6.402204700000311,6.416569700000309,7.416678300000058,7.401909899999737,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
4,0,2,choose right,right,right,1,0.5148000000008324,None,0,0,0,0,2,0,4,1,7.416678300000058,,,,,7.40200890000051,7.416678300000058,7.416678300000058,7.416678300000058,7.416678300000058,7.9356558999998015,right,1,0.5148000000008324,None,7.935854600000312,7.9497903999999835,8.950184700000136,8.935123000000203,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
5,1,2,choose left,left,left,1,0.5492872000004354,None,0,0,0,0,2,1,5,0,8.950184700000136,,,,,8.936980700000277,8.950184700000136,8.950184700000136,8.950184700000136,8.950184700000136,9.501918099999784,left,1,0.5492872000004354,None,9.502117199999702,9.51648060000025,10.516482400000314,10.50184950000039,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
0,0,0,choose right,right,right,1,0.43891179999991436,None,1,0,1,0,0,0,0,1,11.516784399999779,,10.503958799999964,10.516482400000314,11.501862000000074,11.505651000000398,11.516784399999779,11.516784399999779,11.516784399999779,11.516784399999779,11.968729400000484,right,1,0.43891179999991436,None,11.9689257,11.983180700000048,12.983456500000102,12.968501800000013,11.516784399999779,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
1,1,0,choose left,left,left,1,0.5718447999997807,None,1,0,1,0,0,1,1,0,12.983456500000102,,,,,12.970343900000444,12.983456500000102,12.983456500000102,12.983456500000102,12.983456500000102,13.56868779999968,left,1,0.5718447999997807,None,13.568889899999704,13.58320840000033,,14.568807900000138,,425780,001,2025-07-03_13h47.42.443,untitled,2024.2.4,59.79377128291046,2025-07-03 13h47.44.433400 -0400,
2,0,1,choose left,left,,,,,,,,,1,0,2,0,14.58340649999991,,,,,14.568918900000426,14.58340649999991,14.58340649999991,14.58340649999991,14.58340649999991,,,,,,,,,,,,,,,,,,
