stimuli,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_2.started,fb_2.started,feedback_2.stopped,fb_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
choose left,left,0,0,0,left,1,0.8366009999999733,None,0,0,0,0,0.08112100000016653,,0.0767137000002549,0.08112100000016653,0.08112100000016653,0.08112100000016653,0.08112100000016653,0.9232264000002033,left,1,0.8366009999999733,None,0.9312303000001521,0.9493423000003531,1.9352590000003147,,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose right,right,1,1,0,right,1,0.3995473999998467,None,0,1,1,1,1.950119000000086,,1.9383511000000908,1.950119000000086,1.950119000000086,1.950119000000086,1.950119000000086,2.352378200000203,right,1,0.3995473999998467,None,2.3525766000002477,2.3667178999999123,3.3521208000001934,3.3668597000000773,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose right,right,2,0,1,right,1,0.31938659999968877,None,1,0,2,1,3.3668597000000773,,3.352212799999961,3.3668597000000773,3.3668597000000773,3.3668597000000773,3.3668597000000773,3.6870506000000205,right,1,0.31938659999968877,None,3.687353499999972,3.7003445000000283,4.685569300000225,4.700326500000301,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose left,left,3,1,1,right,0,0.3855191000002378,None,1,1,3,0,4.700326500000301,,4.687429200000224,4.700326500000301,4.700326500000301,4.700326500000301,4.700326500000301,5.102395000000342,right,0,0.3855191000002378,None,5.105691900000238,5.116702600000281,6.102179400000296,6.116905300000326,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose left,left,4,0,2,left,1,1.9210450999999011,None,2,0,4,0,6.116905300000326,,6.102271499999915,6.116905300000326,6.116905300000326,6.116905300000326,6.116905300000326,8.05240270000013,left,1,1.9210450999999011,None,8.054049200000009,8.066999200000282,9.052639,,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose right,right,5,1,2,right,1,0.08267489999980171,None,2,1,5,1,9.067041000000245,,9.054553599999963,9.067041000000245,9.067041000000245,9.067041000000245,9.067041000000245,9.152538300000288,right,1,0.08267489999980171,None,9.152740700000322,9.166757899999993,10.152184999999918,10.167057800000293,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose left,left,6,0,3,left,1,0.11089739999988524,None,3,0,6,0,10.167057800000293,,10.15412409999999,10.167057800000293,10.167057800000293,10.167057800000293,10.167057800000293,10.285726800000248,left,1,0.11089739999988524,None,10.28592370000024,10.300290000000132,11.284917700000278,11.299392000000353,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose right,right,7,1,3,right,1,0.1462573999997403,None,3,1,7,1,11.299392000000353,,11.28685600000017,11.299392000000353,11.299392000000353,11.299392000000353,11.299392000000353,11.451956100000189,right,1,0.1462573999997403,None,11.452291399999922,11.465874299999996,12.45146700000032,12.46584669999993,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose right,right,8,0,4,right,1,0.12423790000002555,None,4,0,8,1,12.46584669999993,,12.45156390000011,12.46584669999993,12.46584669999993,12.46584669999993,12.46584669999993,12.601459400000294,right,1,0.12423790000002555,None,12.601656700000149,12.61605980000013,13.601282600000104,13.616122500000074,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
choose left,left,9,1,4,right,0,0.02143930000011096,None,4,1,9,0,13.616122500000074,,13.60327580000012,13.616122500000074,13.616122500000074,13.616122500000074,13.616122500000074,13.65161500000022,right,0,0.02143930000011096,None,13.653497300000254,13.66585780000014,14.651445899999999,14.666282000000137,545345,001,2025-07-02_15h45.56.747,untitled,2024.2.4,61.335920891404776,2025-07-02 15h45.59.096975 -0400,
