stimuli,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
choose left,left,0,0,0,right,0,0.38233260000015434,None,0,0,0,0,0.16440160000001924,,0.14836600000035105,0.16440160000001924,0.16440160000001924,0.16440160000001924,0.16440160000001924,0.5529810000007274,right,0,0.38233260000015434,None,0.5581904000000577,0.5659278000002814,1.566344200000458,1.5517422000002625,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose right,right,1,1,0,left,0,0.5245469000001322,None,0,1,1,1,1.566344200000458,,1.5548961000004056,1.566344200000458,1.566344200000458,1.566344200000458,1.566344200000458,2.1018652000002476,left,0,0.5245469000001322,None,2.102065500000208,2.1161641000007876,,3.102886700000454,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose right,right,2,0,1,right,1,0.5580734999994093,None,1,0,2,1,3.1167300000006435,,3.103038500000366,3.1167300000006435,3.1167300000006435,3.1167300000006435,3.1167300000006435,3.685480400000415,right,1,0.5580734999994093,None,3.6888465000001815,3.6996357000007265,4.700042800000119,4.685134000000289,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose left,left,3,1,1,left,1,0.5831308999995599,None,1,1,3,0,4.700042800000119,,4.68710370000008,4.700042800000119,4.700042800000119,4.700042800000119,4.700042800000119,5.286734500000421,left,1,0.5831308999995599,None,5.290398300000561,5.299955000000409,6.299846000000798,6.285103100000015,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose left,left,4,0,2,left,1,0.5266776999997091,None,2,0,4,0,6.299846000000798,,6.285197500000322,6.299846000000798,6.299846000000798,6.299846000000798,6.299846000000798,6.835316300000159,left,1,0.5266776999997091,None,6.837749199999962,6.849727300000268,7.8500324000006,7.835119600000326,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose right,right,5,1,2,right,1,0.5046854000001986,None,2,1,5,1,7.8500324000006,,7.8377272000007,7.8500324000006,7.8500324000006,7.8500324000006,7.8500324000006,8.368673200000558,right,1,0.5046854000001986,None,8.370641800000158,8.383109000000331,,9.373380300000463,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose left,left,6,0,3,left,1,0.539697399999568,None,3,0,6,0,9.39876220000042,,9.378245700000662,9.39876220000042,9.39876220000042,9.39876220000042,9.39876220000042,9.952053400000295,left,1,0.539697399999568,None,9.956454400000439,9.966349100000116,10.966677900000832,10.951772300000812,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose right,right,7,1,3,right,1,0.5641654999999446,None,3,1,7,1,10.966677900000832,,10.953803400000652,10.966677900000832,10.966677900000832,10.966677900000832,10.966677900000832,11.535255000000689,right,1,0.5641654999999446,None,11.53709280000021,11.549613900000622,,12.535461500000565,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose left,left,8,0,4,left,1,0.5567433000005622,None,4,0,8,0,12.550003400000605,,12.537380600000688,12.550003400000605,12.550003400000605,12.550003400000605,12.550003400000605,13.118723900000077,left,1,0.5567433000005622,None,13.120810900000833,13.133123800000249,,14.118792700000085,600195,001,2025-07-02_15h57.54.225,untitled,2024.2.4,59.60288978635873,2025-07-02 15h57.56.730869 -0400,
choose right,right,9,1,4,,,,,4,1,9,1,14.133301500000016,,14.120767900000828,14.133301500000016,14.133301500000016,14.133301500000016,14.133301500000016,14.6854486000002,right,1,0.5412791999997353,None,,,,,,,,,,,,
